id	gene	chrom	chromStart	chromEnd	strand
ENSG00000223972.5	DDX11L1	chr1	11869	14409	+
ENSG00000227232.5	WASH7P	chr1	14404	29570	-
ENSG00000278267.1	MIR6859-3	chr1	17369	17436	-
ENSG00000243485.3	RP11-34P13.3	chr1	29554	31109	+
ENSG00000274890.1	MIR1302-9	chr1	30366	30503	+
ENSG00000237613.2	FAM138A	chr1	34554	36081	-
ENSG00000268020.3	OR4G4P	chr1	52473	53312	+
ENSG00000240361.1	OR4G11P	chr1	62948	63887	+
ENSG00000186092.4	OR4F5	chr1	69091	70008	+
ENSG00000238009.5	RP11-34P13.7	chr1	89295	133723	-
ENSG00000239945.1	RP11-34P13.8	chr1	89551	91105	-
ENSG00000233750.3	CICP27	chr1	131025	134836	+
ENSG00000268903.1	RP11-34P13.15	chr1	135141	135895	-
ENSG00000269981.1	RP11-34P13.16	chr1	137682	137965	-
ENSG00000239906.1	RP11-34P13.14	chr1	139790	140339	-
ENSG00000241860.5	RP11-34P13.13	chr1	141474	173862	-
ENSG00000222623.1	RNU6-1100P	chr1	157784	157887	-
ENSG00000241599.1	RP11-34P13.9	chr1	160446	161525	+
ENSG00000279928.1	FO538757.3	chr1	182393	184158	+
ENSG00000279457.2	FO538757.2	chr1	184923	200322	-
ENSG00000273874.1	MIR6859-2	chr1	187891	187958	-
ENSG00000275135.1	FO538757.1	chr1	200880	201017	+
ENSG00000228463.7	AP006222.2	chr1	257864	297502	-
ENSG00000241670.3	AP006222.1	chr1	258568	259024	-
ENSG00000236679.2	RP4-669L17.1	chr1	347982	348366	-
ENSG00000236743.1	RP5-857K21.15	chr1	357383	359681	-
ENSG00000236601.1	RP4-669L17.2	chr1	358857	365704	+
ENSG00000237094.10	RP4-669L17.10	chr1	365389	501617	-
ENSG00000269732.1	WBP1LP7	chr1	439870	440232	+
ENSG00000278566.1	OR4F29	chr1	450740	451678	-
ENSG00000224813.2	RP4-669L17.4	chr1	485032	485211	-
ENSG00000233653.3	CICP7	chr1	487101	489906	+
ENSG00000250575.1	RP4-669L17.8	chr1	491225	493241	-
